Start.keys,Start.rt,Interval_stimulus,key_resp.keys,Response.keys,Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,id,session,completion_token,date,expName,psychopyVersion,OS,frameRate
space,7.612415,8.162174686,,space,0.39181,0,0,0,0,1,87239,2,68DA7FAE-EE61-4855-A329-3B004F68D3EB,2021-03-13_16h33.31.114,PVT builder,2020.1.3,MacIntel,60
,,8.011992135,,space,0.33816,1,0,1,0,1,87239,2,68DA7FAE-EE61-4855-A329-3B004F68D3EB,2021-03-13_16h33.31.114,PVT builder,2020.1.3,MacIntel,60
,,9.457722592,,space,0.41851,2,0,2,0,1,87239,2,68DA7FAE-EE61-4855-A329-3B004F68D3EB,2021-03-13_16h33.31.114,PVT builder,2020.1.3,MacIntel,60
,,3.46801315,,space,0.50269,3,0,3,0,1,87239,2,68DA7FAE-EE61-4855-A329-3B004F68D3EB,2021-03-13_16h33.31.114,PVT builder,2020.1.3,MacIntel,60
,,6.529209391,,space,0.302695,4,0,4,0,1,87239,2,68DA7FAE-EE61-4855-A329-3B004F68D3EB,2021-03-13_16h33.31.114,PVT builder,2020.1.3,MacIntel,60
,,5.799982925,,space,0.30085,5,0,5,0,1,87239,2,68DA7FAE-EE61-4855-A329-3B004F68D3EB,2021-03-13_16h33.31.114,PVT builder,2020.1.3,MacIntel,60
,,5.523109375,,space,0.335095,6,0,6,0,1,87239,2,68DA7FAE-EE61-4855-A329-3B004F68D3EB,2021-03-13_16h33.31.114,PVT builder,2020.1.3,MacIntel,60
,,8.580035869,,space,0.31538,7,0,7,0,1,87239,2,68DA7FAE-EE61-4855-A329-3B004F68D3EB,2021-03-13_16h33.31.114,PVT builder,2020.1.3,MacIntel,60
,,4.53480246,,space,0.3347,8,0,8,0,1,87239,2,68DA7FAE-EE61-4855-A329-3B004F68D3EB,2021-03-13_16h33.31.114,PVT builder,2020.1.3,MacIntel,60
,,9.889740798,,space,0.337455,9,0,9,0,1,87239,2,68DA7FAE-EE61-4855-A329-3B004F68D3EB,2021-03-13_16h33.31.114,PVT builder,2020.1.3,MacIntel,60
,,4.328093561,,space,0.34718,10,0,10,0,1,87239,2,68DA7FAE-EE61-4855-A329-3B004F68D3EB,2021-03-13_16h33.31.114,PVT builder,2020.1.3,MacIntel,60
,,2.460586222,,space,0.368195,11,0,11,0,1,87239,2,68DA7FAE-EE61-4855-A329-3B004F68D3EB,2021-03-13_16h33.31.114,PVT builder,2020.1.3,MacIntel,60
,,9.466248071,,space,0.32058,12,0,12,0,1,87239,2,68DA7FAE-EE61-4855-A329-3B004F68D3EB,2021-03-13_16h33.31.114,PVT builder,2020.1.3,MacIntel,60
,,7.828249085,,space,0.35134,13,0,13,0,1,87239,2,68DA7FAE-EE61-4855-A329-3B004F68D3EB,2021-03-13_16h33.31.114,PVT builder,2020.1.3,MacIntel,60
,,6.851112525,,space,0.322035,14,0,14,0,1,87239,2,68DA7FAE-EE61-4855-A329-3B004F68D3EB,2021-03-13_16h33.31.114,PVT builder,2020.1.3,MacIntel,60
,,5.528930872,,space,0.300375,15,0,15,0,1,87239,2,68DA7FAE-EE61-4855-A329-3B004F68D3EB,2021-03-13_16h33.31.114,PVT builder,2020.1.3,MacIntel,60
,,2.92252686,,space,0.331555,16,0,16,0,1,87239,2,68DA7FAE-EE61-4855-A329-3B004F68D3EB,2021-03-13_16h33.31.114,PVT builder,2020.1.3,MacIntel,60
,,7.973603001,,space,0.316875,17,0,17,0,1,87239,2,68DA7FAE-EE61-4855-A329-3B004F68D3EB,2021-03-13_16h33.31.114,PVT builder,2020.1.3,MacIntel,60
,,2.749643344,,space,0.384695,18,0,18,0,1,87239,2,68DA7FAE-EE61-4855-A329-3B004F68D3EB,2021-03-13_16h33.31.114,PVT builder,2020.1.3,MacIntel,60
,,7.450295402,,space,0.305125,19,0,19,0,1,87239,2,68DA7FAE-EE61-4855-A329-3B004F68D3EB,2021-03-13_16h33.31.114,PVT builder,2020.1.3,MacIntel,60
,,2.145584702,,space,0.418085,20,0,20,0,1,87239,2,68DA7FAE-EE61-4855-A329-3B004F68D3EB,2021-03-13_16h33.31.114,PVT builder,2020.1.3,MacIntel,60
,,2.629319481,,space,0.321805,21,0,21,0,1,87239,2,68DA7FAE-EE61-4855-A329-3B004F68D3EB,2021-03-13_16h33.31.114,PVT builder,2020.1.3,MacIntel,60
,,2.930933156,,space,0.29679,22,0,22,0,1,87239,2,68DA7FAE-EE61-4855-A329-3B004F68D3EB,2021-03-13_16h33.31.114,PVT builder,2020.1.3,MacIntel,60
,,6.76231634,,space,0.28451,23,0,23,0,1,87239,2,68DA7FAE-EE61-4855-A329-3B004F68D3EB,2021-03-13_16h33.31.114,PVT builder,2020.1.3,MacIntel,60
,,6.144305504,,space,0.300615,24,0,24,0,1,87239,2,68DA7FAE-EE61-4855-A329-3B004F68D3EB,2021-03-13_16h33.31.114,PVT builder,2020.1.3,MacIntel,60
,,6.757337916,,space,0.30168,25,0,25,0,1,87239,2,68DA7FAE-EE61-4855-A329-3B004F68D3EB,2021-03-13_16h33.31.114,PVT builder,2020.1.3,MacIntel,60
,,2.081405624,,space,0.435335,26,0,26,0,1,87239,2,68DA7FAE-EE61-4855-A329-3B004F68D3EB,2021-03-13_16h33.31.114,PVT builder,2020.1.3,MacIntel,60
,,4.263909901,,space,0.30121,27,0,27,0,1,87239,2,68DA7FAE-EE61-4855-A329-3B004F68D3EB,2021-03-13_16h33.31.114,PVT builder,2020.1.3,MacIntel,60
,,4.025713315,,space,0.284275,28,0,28,0,1,87239,2,68DA7FAE-EE61-4855-A329-3B004F68D3EB,2021-03-13_16h33.31.114,PVT builder,2020.1.3,MacIntel,60
,,9.886740179,,space,0.263805,29,0,29,0,1,87239,2,68DA7FAE-EE61-4855-A329-3B004F68D3EB,2021-03-13_16h33.31.114,PVT builder,2020.1.3,MacIntel,60
,,8.927134467,,space,0.298765,30,0,30,0,1,87239,2,68DA7FAE-EE61-4855-A329-3B004F68D3EB,2021-03-13_16h33.31.114,PVT builder,2020.1.3,MacIntel,60
,,5.201774367,,space,0.40288,31,0,31,0,1,87239,2,68DA7FAE-EE61-4855-A329-3B004F68D3EB,2021-03-13_16h33.31.114,PVT builder,2020.1.3,MacIntel,60
,,2.967615953,,space,0.317535,32,0,32,0,1,87239,2,68DA7FAE-EE61-4855-A329-3B004F68D3EB,2021-03-13_16h33.31.114,PVT builder,2020.1.3,MacIntel,60
,,8.822167559,,space,0.318425,33,0,33,0,1,87239,2,68DA7FAE-EE61-4855-A329-3B004F68D3EB,2021-03-13_16h33.31.114,PVT builder,2020.1.3,MacIntel,60
,,9.432114948,,space,0.30161,34,0,34,0,1,87239,2,68DA7FAE-EE61-4855-A329-3B004F68D3EB,2021-03-13_16h33.31.114,PVT builder,2020.1.3,MacIntel,60
